Estacion,decimalLatitude,decimalLongitude,eventTime,eventDate,Red,Solicitud,Vol_filtrado,Vol_concentrado,Vol_alicuota,Num_alicuotas,fieldNumber
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,300,31,101.2405667,150,5,1,SP-23-0426
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
33,2,-79,18:37:00,2023-10-25,500,31,100.6654262,150,5,12,SP-23-0427
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
65,2,-81,01:22:00,2023-10-27,500,31,61.05459934,150,5,8,SP-23-0453
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,300,31,76.75751937,100,5,2,SP-23-0462
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
81,2,-82,16:18:00,2023-10-27,500,31,76.32484483,100,5,13,SP-23-0463
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,300,31,56.16326639,150,5,1,SP-23-0472
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,1500,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
97,2,-83,07:58:00,2023-10-28,500,31,62.28402823,150,5,9,SP-23-0473
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,300,31,93.73735695,300,5,3,SP-23-0482
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
113,2,-84,00:12:00,2023-10-29,500,31,99.03498185,150,5,2,SP-23-0483
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,300,31,70.51012108,125,5,1,SP-23-0492
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
111,3,-84,09:49:00,2023-10-29,500,31,72.50992171,125,5,9,SP-23-0493
95,3,-83,18:58:00,2023-10-29,300,31,85.1471843,150,5,2,SP-23-0502
