verbatimIdentification,Phylllum,Clase,Orden,Familia,Genero,Especies
Abylopsis tetragona,Cnidaria,Hydrozoa,Siphonophorae,Abylidae ,Abylopsis,tetragona
Acartia danae,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,danae
Acartia sp,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,
Achelata,Arthropoda,Malacostraca,Decapoda,,,
Ammonia ,Foraminifera,Globothalamea ,Rotaliida,Ammoniidae,Ammonia ,
Amphipoda,Arthropoda,Malacostraca,Amphipoda,,,
Annelida,Annelida,,,,,
Anomura,Arthropoda,Malacostraca,Decapoda,,,
Appendicularia,Chordata,Appendicularia,,,,
Arthropoda,Arthropoda,,,,,
Artotrogidae,Arthropoda,Copepoda,Siphonostomatoida,Artotrogidae ,,
Atlanta,Mollusca,Gastropoda,Littorinimorpha ,Atlantidae,Atlanta,
Benthesicymidae,Arthropoda,Malacostraca,Decapoda,Benthesicymidae,,
Bivalvia,Mollusca,Bivalvia,,,,
Brachyura,Arthropoda,Malacostraca,Decapoda,,,
Branchiopoda,Arthropoda,Branchiopoda,,,,
Bryozoa,Bryozoa,,,,,
Calanidae,Arthropoda,Copepoda,Calanoida,Calanidae,,
Calanoida,Arthropoda,Copepoda,Calanoida,,,
Calanus ,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,
Calocalanus,Arthropoda,Copepoda,Calanoida,Paracalanidae ,Calocalanus,
Candacia,Arthropoda,Copepoda,Calanoida,Candaciidae ,Candacia,
Caridea,Arthropoda,Malacostraca,Decapoda,,,
Cavolina ,Mollusca,Gastropoda,Pteropoda,Cavoliniidae ,Cavolina,
Cavoliniidae,Mollusca,Gastropoda,Pteropoda,Cavoliniidae ,,
Centropages furcatus,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,furcatus
Centropages sp,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,
Cephalopoda,Mollusca,Cephalopoda,,,,
Chaetognatha,Chaetognatha,,,,,
Cirripedia,Arthropoda,Thecostraca,,,,
Cladocera,Arthropoda,Branchiopoda,Cladocera,,,
Clausocalanus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,
Clio pyramidata,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,pyramidata
Clio sp,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,
Clione,Mollusca,Gastropoda,Pteropoda,Clionidae ,Clione,
Cnidaria,Cnidaria,,,,,
Copepoda,Arthropoda,Copepoda,,,,
Copilia cuadrata,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,cuadrata
Copilia mirabilis,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,mirabilis
Corycaeus,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,
Creseis,Mollusca,Gastropoda,Pteropoda,Creseidae ,Creseis,
Crystallophyes,Cnidaria,Hydrozoa,Siphonophorae,Clausophyidae ,Crystallophyes,
Ctenostomata,Bryozoa,Gymnolaemata ,,,,
Cumacea,Arthropoda,Malacostraca,Cumacea,,,
Cyclopoida,Arthropoda,Copepoda,Cyclopoida,,,
Decapoda,Arthropoda,Malacostraca,Decapoda,,,
Dendrobranchiata,Arthropoda,Malacostraca,Decapoda,,,
Doliolum,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,
Echinoidea,Echinodermata ,Echinoidea,,,,
Eirenidae ,Cnidaria,Hydrozoa,Leptothecata,Eirenidae ,,
Ethmodiscus rex,Heterokontophyta,Bacillariophyceae,Coscinodiscales ,Coscinodiscaceae,Ethmodiscus ,rex
Eucarida,Arthropoda,Malacostraca,,,,
Euchaeta pubera,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,pubera
Euchaeta sp,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,
Euchirella,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,
Eudoxoides mitra,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Eudoxoides,mitra
Euphausia,Arthropoda,Malacostraca,Euphausiacea ,Euphausiidae ,Euphausia,
Euphausiacea,Arthropoda,Malacostraca,Euphausiacea ,,,
Farranula rostrata,Arthropoda,Copepoda,Cyclopoida,Corycaeidae ,Farranula ,rostrata
Farranula sp,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula ,
Firolioda sp,Mollusca,Gastropoda,Littorinimorpha ,Pterotracheidae ,Firoloida,
Firoloida desmarestia,Mollusca,Gastropoda,Littorinimorpha ,Pterotracheidae ,Firoloida,desmarestia 
Flaccisagitta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae ,Flaccisagitta,
Foraminifera,Foraminifera,,,,,
Gastropoda,Mollusca,Gastropoda,,,,
Gigantactinidae,Chordata,Teleostei,Lophiiformes,Gigantactinidae,,
Globigerina,Foraminifera,Globothalamea ,Rotaliida,Globigerinidae,Globigerina,
Globorotalia,Foraminifera,Globothalamea ,Rotaliida,Globigerinidae,Globorotalia,
Gymnosomata,Mollusca,Gastropoda,Pteropoda,,,
Halobates,Arthropoda,Hexapoda ,Hemiptera,Gerridae ,Halobates,
Harpacticoida,Arthropoda,Copepoda,Harpacticoida,,,
Heterorhabdus,Arthropoda,Copepoda,Calanoida,Heterorhabdidae ,Heterorhabdus,
Hydrozoa,Cnidaria,Hydrozoa,,,,
Hymenosomatidae,Arthropoda,Malacostraca,Decapoda,Hymenosomatidae,,
Iasis,Chordata,Thaliacea,Salpida,Salpidae,Iasis,
Labidocera detruncata,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,detruncata
Lensia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,
Leucosiidae,Arthropoda,Malacostraca,Decapoda,Leucosiidae,,
Limacina helicina,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,
Limacina helicoides,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,helicoides
Limacina inflata,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,inflata
Limacina retroversa,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,retroversa
Limacina sp,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,
Limacina trochiformis,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,trochiformis
Littorinimorpha ,Mollusca,Gastropoda,Littorinimorpha ,,,
Loligo,Mollusca,Cephalopoda,Myopsida ,Loliginidae,Loligo,
Lopadorrhynchidae ,Annelida,Polychaeta,Phyllodocida ,Lopadorrhynchidae ,,
Lucicutia,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,
Lucifer,Arthropoda,Malacostraca,Decapoda,Luciferidae,Lucifer,
Metridia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,
Mollusca,Mollusca,,,,,
Muggiaea ,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea ,
Mysida,Arthropoda,Malacostraca,Mysida,,,
Mytilidae,Mollusca,Bivalvia,Mytilida,Mytilidae,,
Narcomedusae,Cnidaria,Hydrozoa,Narcomedusae,,,
Nudibranchia,Mollusca,Gastropoda,Nudibranchia,,,
Oikopleura,Chordata,Appendicularia,Copelata ,Oikopleuridae,Oikopleura,
Oithona,Arthropoda,Copepoda,Cyclopoida,Oithonidae ,Oithona,
Oncaea,Arthropoda,Copepoda,Cyclopoida,Oncaeidae ,Oncaea,
Ophiotrix ,Echinodermata ,Ophiuroidea,Amphilepidida ,Ophiotrichidae,Ophiothrix ,
Ophiura,Echinodermata ,Ophiuroidea,Ophiurida ,Ophiuridae,Ophiura,
Ophiuroidea,Echinodermata ,Ophiuroidea,,,,
Ostracoda,Arthropoda,Ostracoda,,,,
Palinurus,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,
Pareucalanus,Arthropoda,Copepoda,Calanoida,Eucalanidae ,Pareucalanus,
Phronimoidea,Arthropoda,Malacostraca,Amphipoda,,,
Pirosistis sepudonoctiluca,Myzozoa,Dinophyceae,Gonyaulacales,Pyrocystaceae,Pyrocystis,pseudonoctiluca
Polychaeta,Annelida,Polychaeta,,,,
Pontella fera ,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,fera
Pontella mimocerami,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,mimocerami
Pontella valida,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,valida
Pontellina morii,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontellina,morii
Pontellina platychela,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontellina,platychela
Pontellina plumata,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,plumata
Pontellopsis regalis,Arthropoda,Copepoda,Calanoida,Pontellidae,Potellopsis,regalis
Porcellanidae,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,
Pycnogonida,Arthropoda,Pycnogonida,,,,
Pyrocystis pseudonoctiluca,Myzozoa,Dinophyceae,Gonyaulacales,Pyrocystaceae,Pyrocystis,pseudonoctiluca
Radiolaria,Radiozoa,,,,,
Sagitta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,
Salpa fusiformis,Chordata,Thaliacea,Salpida,Salpidae,Salpa,fusiformis
Sapphirina ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Sapphirina,
Scyphozoa ,Cnidaria,Scyphozoa,,,,
Sergestes,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,
Sididae ,Arthropoda,Branchiopoda,Ctenopoda,Sididae ,,
Siphonophorae,Cnidaria,Hydrozoa,Siphonophorae,,,
Siphonostomatoida,Arthropoda,Copepoda,Siphonostomatoida,,,
Sipuncula,Sipuncula,,,,,
Spongodiscidae,Radiozoa,Polycystina,Spumellaria,Spongodiscidae ,,
Stenopodidae ,Arthropoda,Malacostraca,Decapoda,Stenopodidae,,
Stomatopoda,Arthropoda,Malacostraca,Stomatopoda,,,
Symphurus atramentatus,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,atramentatus 
Teleostei,Chordata,Teleostei,,,,
Temora stylifera,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,stylifera
Thalassinidea,Arthropoda,Malacostraca,Decapoda,,,
Thalia democratica,Chordata,Thaliacea,Salpida,Salpidae,Thalia,democratica
Thaliacea,Chordata,Thaliacea,,,,
Triconia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae ,Triconia,
Undinula,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,
Upogebia ,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,
Vibiliidae ,Arthropoda,Malacostraca,Amphipoda,Vibiliidae ,,
